"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 03:52:01 UTC 2023","Mon Aug 07 03:52:14 UTC 2023","12621","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Aug 07 03:52:30 UTC 2023","Mon Aug 07 03:52:42 UTC 2023","12123","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Mon Aug 07 03:52:16 UTC 2023","Mon Aug 07 03:52:28 UTC 2023","11731","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
