"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 03:39:41 UTC 2023","Fri Aug 04 03:39:51 UTC 2023","10022","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Fri Aug 04 03:39:55 UTC 2023","Fri Aug 04 03:40:06 UTC 2023","11303","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Fri Aug 04 03:40:11 UTC 2023","Fri Aug 04 03:40:24 UTC 2023","12760","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
