"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 06:53:03 UTC 2023","Wed Jul 19 06:53:16 UTC 2023","12217","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Wed Jul 19 06:53:04 UTC 2023","Wed Jul 19 06:53:17 UTC 2023","13359","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Wed Jul 19 06:53:19 UTC 2023","Wed Jul 19 06:53:25 UTC 2023","6668","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Wed Jul 19 06:53:20 UTC 2023","Wed Jul 19 06:53:30 UTC 2023","9751","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Wed Jul 19 06:53:04 UTC 2023","Wed Jul 19 06:53:07 UTC 2023","3081","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
