"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 02 03:08:55 UTC 2023","Wed Aug 02 03:09:07 UTC 2023","12020","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Wed Aug 02 03:08:40 UTC 2023","Wed Aug 02 03:08:52 UTC 2023","11906","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Wed Aug 02 03:08:40 UTC 2023","Wed Aug 02 03:08:43 UTC 2023","3241","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"broken","Wed Aug 02 03:08:40 UTC 2023","Wed Aug 02 03:08:51 UTC 2023","11073","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"broken","Wed Aug 02 03:08:54 UTC 2023","Wed Aug 02 03:09:05 UTC 2023","10893","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
