"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 02 06:36:49 UTC 2023","Wed Aug 02 06:37:02 UTC 2023","13012","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Wed Aug 02 06:36:29 UTC 2023","Wed Aug 02 06:36:46 UTC 2023","16995","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Wed Aug 02 06:36:44 UTC 2023","Wed Aug 02 06:36:53 UTC 2023","8937","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Wed Aug 02 06:36:29 UTC 2023","Wed Aug 02 06:36:32 UTC 2023","3695","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Wed Aug 02 06:36:29 UTC 2023","Wed Aug 02 06:36:41 UTC 2023","12401","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
