"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 17:10:26 UTC 2023","Mon Jul 10 17:10:30 UTC 2023","4649","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Mon Jul 10 17:10:26 UTC 2023","Mon Jul 10 17:10:39 UTC 2023","13217","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 17:10:43 UTC 2023","Mon Jul 10 17:10:53 UTC 2023","10584","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Mon Jul 10 17:10:26 UTC 2023","Mon Jul 10 17:10:40 UTC 2023","14126","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Jul 10 17:10:42 UTC 2023","Mon Jul 10 17:10:50 UTC 2023","7902","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
