"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 05 04:07:44 UTC 2023","Wed Jul 05 04:07:56 UTC 2023","12098","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Wed Jul 05 04:07:43 UTC 2023","Wed Jul 05 04:07:47 UTC 2023","3263","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Wed Jul 05 04:07:44 UTC 2023","Wed Jul 05 04:07:57 UTC 2023","13460","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Wed Jul 05 04:08:00 UTC 2023","Wed Jul 05 04:08:11 UTC 2023","11252","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Wed Jul 05 04:07:59 UTC 2023","Wed Jul 05 04:08:09 UTC 2023","10108","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
