"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 07:01:43 UTC 2023","Tue Jun 27 07:01:48 UTC 2023","5324","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission[getData0]",""
"passed","Tue Jun 27 07:01:59 UTC 2023","Tue Jun 27 07:02:10 UTC 2023","10697","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_item_to_cart_successfully",""
"passed","Tue Jun 27 07:01:43 UTC 2023","Tue Jun 27 07:01:55 UTC 2023","11688","tests.rahult","test_e2e","TestOne","","","test_e2e",""
"passed","Tue Jun 27 07:01:52 UTC 2023","Tue Jun 27 07:01:56 UTC 2023","4209","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission_second[getData0]",""
"passed","Tue Jun 27 07:01:43 UTC 2023","Tue Jun 27 07:01:46 UTC 2023","3304","tests.saucelab","test_home2","TestHomeTask","","","test_home_2",""
"passed","Tue Jun 27 07:02:12 UTC 2023","Tue Jun 27 07:02:19 UTC 2023","7414","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_multiple_item_to_cart_successfully",""
