"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 17:38:21 UTC 2023","Mon Jul 10 17:38:36 UTC 2023","14924","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Jul 10 17:38:21 UTC 2023","Mon Jul 10 17:38:26 UTC 2023","5229","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End"," Docstring for test 1"
"passed","Mon Jul 10 17:38:21 UTC 2023","Mon Jul 10 17:38:37 UTC 2023","16542","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 17:38:41 UTC 2023","Mon Jul 10 17:38:50 UTC 2023","9123","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"broken","Mon Jul 10 17:38:39 UTC 2023","Mon Jul 10 17:38:47 UTC 2023","7716","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
