"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 04:23:33 UTC 2023","Mon Jul 17 04:23:40 UTC 2023","6823","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 17 04:23:18 UTC 2023","Mon Jul 17 04:23:30 UTC 2023","11793","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 17 04:23:18 UTC 2023","Mon Jul 17 04:23:21 UTC 2023","3432","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"broken","Mon Jul 17 04:23:18 UTC 2023","Mon Jul 17 04:23:27 UTC 2023","9243","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Jul 17 04:23:31 UTC 2023","Mon Jul 17 04:23:42 UTC 2023","10716","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
