"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 16:32:48 UTC 2023","Mon Jul 10 16:32:58 UTC 2023","10240","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Mon Jul 10 16:32:32 UTC 2023","Mon Jul 10 16:32:45 UTC 2023","12761","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Jul 10 16:32:47 UTC 2023","Mon Jul 10 16:32:55 UTC 2023","8387","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 16:32:32 UTC 2023","Mon Jul 10 16:32:44 UTC 2023","11638","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 16:32:32 UTC 2023","Mon Jul 10 16:32:36 UTC 2023","3957","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
