"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 17:01:46 UTC 2023","Mon Jul 10 17:01:50 UTC 2023","3991","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Mon Jul 10 17:01:46 UTC 2023","Mon Jul 10 17:01:58 UTC 2023","12081","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Jul 10 17:02:01 UTC 2023","Mon Jul 10 17:02:09 UTC 2023","7957","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 17:01:46 UTC 2023","Mon Jul 10 17:01:59 UTC 2023","12889","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 17:02:01 UTC 2023","Mon Jul 10 17:02:11 UTC 2023","10164","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
