"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 03:48:09 UTC 2023","Fri Aug 04 03:48:19 UTC 2023","9819","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Fri Aug 04 03:48:21 UTC 2023","Fri Aug 04 03:48:31 UTC 2023","10475","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Fri Aug 04 03:48:34 UTC 2023","Fri Aug 04 03:48:46 UTC 2023","12708","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
