"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 04:37:25 UTC 2023","Tue Aug 08 04:37:38 UTC 2023","12267","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Tue Aug 08 04:37:40 UTC 2023","Tue Aug 08 04:37:53 UTC 2023","13169","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Tue Aug 08 04:37:11 UTC 2023","Tue Aug 08 04:37:23 UTC 2023","11690","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
