"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 09:04:52 UTC 2023","Mon Aug 07 09:05:06 UTC 2023","13599","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"broken","Mon Aug 07 09:04:27 UTC 2023","Mon Aug 07 09:04:31 UTC 2023","4618","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Aug 07 09:04:36 UTC 2023","Mon Aug 07 09:04:48 UTC 2023","12237","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
