"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 08:26:51 UTC 2023","Tue Jun 27 08:26:54 UTC 2023","2971","tests.saucelab","test_home2","TestHomeTask","","","test_home_2",""
"passed","Tue Jun 27 08:26:59 UTC 2023","Tue Jun 27 08:27:04 UTC 2023","4983","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission[getData1]",""
"passed","Tue Jun 27 08:26:51 UTC 2023","Tue Jun 27 08:27:02 UTC 2023","10943","tests.rahult","test_e2e","TestOne","","","test_e2e",""
"passed","Tue Jun 27 08:27:07 UTC 2023","Tue Jun 27 08:27:12 UTC 2023","5008","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission[getData2]",""
"passed","Tue Jun 27 08:26:51 UTC 2023","Tue Jun 27 08:26:55 UTC 2023","4191","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission[getData0]",""
"passed","Tue Jun 27 08:27:05 UTC 2023","Tue Jun 27 08:27:17 UTC 2023","11402","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_item_to_cart_successfully",""
"broken","Tue Jun 27 08:27:19 UTC 2023","Tue Jun 27 08:27:25 UTC 2023","6229","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_multiple_item_to_cart_successfully",""
