"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 06:49:36 UTC 2023","Tue Jun 27 06:49:43 UTC 2023","6171","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission_second[getData0]",""
"passed","Tue Jun 27 06:49:28 UTC 2023","Tue Jun 27 06:49:33 UTC 2023","4759","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission[getData0]",""
"passed","Tue Jun 27 06:49:28 UTC 2023","Tue Jun 27 06:49:40 UTC 2023","11661","tests.rahult","test_e2e","TestOne","","","test_e2e",""
"passed","Tue Jun 27 06:49:28 UTC 2023","Tue Jun 27 06:49:32 UTC 2023","3360","tests.saucelab","test_home2","TestHomeTask","","","test_home_2",""
"passed","Tue Jun 27 06:49:56 UTC 2023","Tue Jun 27 06:50:03 UTC 2023","7614","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_multiple_item_to_cart_successfully",""
"passed","Tue Jun 27 06:49:45 UTC 2023","Tue Jun 27 06:49:54 UTC 2023","8921","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_item_to_cart_successfully",""
