"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 09:12:22 UTC 2023","Mon Aug 07 09:12:32 UTC 2023","10617","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Aug 07 09:12:54 UTC 2023","Mon Aug 07 09:13:08 UTC 2023","13745","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Mon Aug 07 09:12:37 UTC 2023","Mon Aug 07 09:12:49 UTC 2023","12443","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
