"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 17:19:12 UTC 2023","Mon Jul 10 17:19:21 UTC 2023","9064","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Mon Jul 10 17:18:57 UTC 2023","Mon Jul 10 17:19:09 UTC 2023","11199","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Jul 10 17:18:57 UTC 2023","Mon Jul 10 17:19:10 UTC 2023","12149","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 17:19:13 UTC 2023","Mon Jul 10 17:19:20 UTC 2023","7404","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Mon Jul 10 17:18:57 UTC 2023","Mon Jul 10 17:19:01 UTC 2023","3710","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End"," Docstring for test 1"
