"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 04 08:15:17 UTC 2023","Tue Jul 04 08:15:25 UTC 2023","7447","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"broken","Tue Jul 04 08:15:02 UTC 2023","Tue Jul 04 08:15:10 UTC 2023","8142","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"broken","Tue Jul 04 08:15:14 UTC 2023","Tue Jul 04 08:15:21 UTC 2023","7278","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Tue Jul 04 08:15:02 UTC 2023","Tue Jul 04 08:15:14 UTC 2023","11747","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Tue Jul 04 08:15:02 UTC 2023","Tue Jul 04 08:15:05 UTC 2023","3471","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
