"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 17:18:46 UTC 2023","Mon Aug 07 17:18:58 UTC 2023","11634","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Mon Aug 07 17:18:21 UTC 2023","Mon Aug 07 17:18:31 UTC 2023","10749","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Mon Aug 07 17:18:34 UTC 2023","Mon Aug 07 17:18:44 UTC 2023","10330","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
