"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 11 06:41:25 UTC 2023","Tue Jul 11 06:41:31 UTC 2023","5786","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Tue Jul 11 06:41:14 UTC 2023","Tue Jul 11 06:41:26 UTC 2023","11915","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"broken","Tue Jul 11 06:41:14 UTC 2023","Tue Jul 11 06:41:22 UTC 2023","8118","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Tue Jul 11 06:41:14 UTC 2023","Tue Jul 11 06:41:17 UTC 2023","3796","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Tue Jul 11 06:41:29 UTC 2023","Tue Jul 11 06:41:35 UTC 2023","6364","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
