"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 04 07:25:30 UTC 2023","Tue Jul 04 07:25:38 UTC 2023","8681","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
"passed","Tue Jul 04 07:25:13 UTC 2023","Tue Jul 04 07:25:16 UTC 2023","3344","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Tue Jul 04 07:25:13 UTC 2023","Tue Jul 04 07:25:26 UTC 2023","13522","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Tue Jul 04 07:25:13 UTC 2023","Tue Jul 04 07:25:27 UTC 2023","14224","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Tue Jul 04 07:25:30 UTC 2023","Tue Jul 04 07:25:38 UTC 2023","7916","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
