"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 15:52:38 UTC 2023","Thu Jul 27 15:52:55 UTC 2023","16589","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","End To End Test ShopDemo Page",""
"passed","Thu Jul 27 15:52:38 UTC 2023","Thu Jul 27 15:52:42 UTC 2023","3956","tests.saucelab","test_saucelab","TestSauceLab","","","Test End To End",""
"passed","Thu Jul 27 15:52:38 UTC 2023","Thu Jul 27 15:52:52 UTC 2023","13570","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Thu Jul 27 15:52:55 UTC 2023","Thu Jul 27 15:53:06 UTC 2023","10176","tests.UtestSignup","test_signup_page","TestUtestPage","","","Test Signup Page",""
"passed","Thu Jul 27 15:52:58 UTC 2023","Thu Jul 27 15:53:13 UTC 2023","14868","tests.shopdemoqa","test_shopdemo","TestShopDemoPage","","","Additional Test ShopDemo Page",""
