"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 08:26:15 UTC 2023","Mon Jun 26 08:26:20 UTC 2023","4664","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission[getData0]",""
"passed","Mon Jun 26 08:26:24 UTC 2023","Mon Jun 26 08:26:28 UTC 2023","4619","tests.rahult","test_HomePage","TestHomePage","","","test_formSubmission_second[getData0]",""
"passed","Mon Jun 26 08:26:15 UTC 2023","Mon Jun 26 08:26:26 UTC 2023","11105","tests.rahult","test_e2e","TestOne","","","test_e2e",""
"passed","Mon Jun 26 08:26:41 UTC 2023","Mon Jun 26 08:26:48 UTC 2023","7684","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_multiple_item_to_cart_successfully",""
"passed","Mon Jun 26 08:26:31 UTC 2023","Mon Jun 26 08:26:38 UTC 2023","7604","tests.shopdemoqa","test_home3","TestHomeTask3","","","test_add_item_to_cart_successfully",""
"passed","Mon Jun 26 08:26:15 UTC 2023","Mon Jun 26 08:26:18 UTC 2023","3271","tests.saucelab","test_home2","TestHomeTask","","","test_home_2",""
